coach_id,coach_name,coach_gender,coach_type,athlete_id
C1908808,SANCHEZ DURAN Wilson,Male,Assistant Coach,1894081
C1908861,ZHANG Xiaohuan,Female,Coach,1894095
C1908862,WANG Jiuli,Female,Coach,1894103
C1908863,HE Xiaochu,Female,Coach,1894114
C1908864,SHEN Yingsha,Female,Coach,1894146
C1908865,TARRES CAMPA Ana,Female,Coach,1894193
C1908866,ZHAO Dantong,Female,Coach,1894194
C1909191,BUGDAEV Kurban,Male,Coach,1894196
C1909799,ASMOLOV Natalia,Female,Coach,1894231
C1909813,MAYRIN Ida,Female,Coach,1894235
C1909827,SZUCS Krisztian,Male,Coach,1894295
C1909847,STSIAPANAVA Natalia,Female,Coach,1894298
C1909857,VAISBURG Sergei,Male,Coach,1894299
C1909866,KLEFNER BEN SHIMOL Moran,Female,Coach,1894302
C1909923,ELNAFRAWY Mohamed,Male,Assistant Coach,1894333
C1909939,BEN JABALLAH Maaouia,Male,Coach,1894356
C1910378,GUAN Jianmin,Male,Coach,1894361
C1910380,KIM Young Jin,Male,Coach,1894383
C1910382,KONG Fantao,Female,Coach,1894388
C1910489,ZUSSMAN Ayelet,Female,Coach,1894405
C1910511,SAMOFALOV Ela,Female,Coach,1894407
C1911256,ARZA Carlos Vivier,Male,Head Coach,1894411
C1912238,CATITO Nelson,Male,Assistant Coach,1894414
C1913681,CAI Bin,Male,Head Coach,1894419
C1913682,LI Yanlong,Male,Assistant Coach,1894498
C1913683,YUAN Zhi,Male,Assistant Coach,1894503
C1914566,HYTTEL Tobias,Male,Coach,1894507
C1914822,SETTA Tarik,Male,Coach,1894532
C1914903,ACHARKI Aziz,Male,Coach,1894533
C1915796,TUCAK Ivica,Male,Head Coach,1894537
C1915797,POSINKOVIC Renco,Male,Assistant Coach,1894538
C1915807,MARELJA Jure,Male,Assistant Coach,1894539
C1915986,COURTEIX David,Male,Head Coach,1894540
C1915987,IGARZA Germain,Male,Assistant Coach,1894541
C1917115,COULIBALY Abdoulaye,Male,Assistant Coach,1894543
C1917164,DIALLO Badara Alou,Male,Head Coach,1894545
C1917720,DUNPHY Marv,Male,2nd Assistant Coach,1894548
C1917721,KIRALY Karch,Male,Head Coach,1894549
C1917722,MIYASHIRO Tama,Female,Assistant Coach,1894551
C1917723,REFT Alfee,Male,Assistant Coach,1894554
C1917725,VIRTUE Erin,Female,Assistant Coach,1894556
C1917858,BROWN Gareth,Male,Coach,1894561
C1918016,FUERBRINGER Matt,Male,Assistant Coach,1894567
C1918018,SPERAW John,Male,Head Coach,1894570
C1918019,WEBER Javi,Male,Assistant Coach,1894574
C1918026,WALL Mike,Male,Assistant Coach,1894577
C1918543,TOKUMOTO Yukito,Male,Assistant Coach,1894579
C1918556,BLAIN Philippe,Male,Head Coach,1894580
C1918560,FUKATSU Takayuki,Male,Assistant Coach,1894583
C1918568,ITOH Kenji,Male,Assistant Coach,1894584
C1918571,MANABE Masayoshi,Male,Head Coach,1894588
C1918572,KAWAKITA Gen,Male,Assistant Coach,1894590
C1918766,REZA Surian,Male,Coach,1894591
C1918882,CHEN Wei,Male,Coach,1894774
C1918883,HE Hua,Female,Coach,1894946
C1918884,JIN Weiguo,Male,Coach,1894949
C1918885,LI Dezhi,Male,Coach,1894950
C1918886,LIU Jinyu,Male,Coach,1894951
C1918887,LIU Tao,Male,Coach,1894952
C1918889,LU le,Male,Coach,1894953
C1918890,SUN Ping,Female,Coach,1894958
C1918891,TENG Haibin,Male,Coach,1894959
C1918893,WANG Liming,Male,Coach,1894963
C1918894,XU Jinglei,Female,Coach,1894965
C1918895,ZHANG Haiyan,Female,Coach,1894966
C1918896,ZHENG Hao,Male,Coach,1894967
C1918907,YE Sheng,Male,Coach,1895096
C1919322,SOTOMURA Kazutoshi,Male,Coach,1895103
C1919328,SHINTAKU Yuya,Male,Coach,1895105
C1919335,TOYOSHIMA Risa,Female,Coach,1895108
C1919338,TANAKA Hikaru,Male,Coach,1895111
C1919341,SATO Hiroaki,Male,Coach,1895116
C1919343,SAITO Yoshihiro,Male,Coach,1895117
C1919511,JUN Jung Hooi,Male,Coach,1895120
C1919719,LIKHADZIYEUSKI Anatoli,Male,Coach,1895121
C1919734,ANTONYAN Sahak,Male,Coach,1895152
C1919736,BERZHETS Viachaslau,Male,Coach,1895153
C1919740,NAZARYAN Hayk,Male,Coach,1895159
C1919741,OGANESIANTC Avetis,Male,Coach,1895161
C1921141,de GIORGI Ferdinando,Male,Head Coach,1895166
C1921142,CAPONERI Massimo,Male,Assistant Coach,1895168
C1921143,GIOLITO Nicola,Male,Assistant Coach,1895170
C1921148,VELASCO Julio,Male,Head Coach,1895172
C1921149,BARBOLINI Massimo,Male,Assistant Coach,1895178
C1921150,BERNARDI Lorenzo,Male,Assistant Coach,1895180
C1922666,van DAMME Koen,Male,Coach,1895187
C1924891,DUGONJIC Ivo Martin,Male,Head Coach,1895202
C1924892,PUIG CARPANETO Gabriel,Male,Assistant Coach,1895210
C1924915,PRUNSKAS Algimantas,Male,Coach,1895213
C1925565,CAMPAGNA Alessandro,Male,Head Coach,1895214
C1925566,SILIPO Carlo,Male,Head Coach,1895215
C1925568,FARINELLI Roberta,Female,Coach,1895223
C1925590,POMILIO Amedeo,Male,Assistant Coach,1895224
C1925602,GIALLOMBARDO Patrizia,Female,Coach,1895226
C1925620,di CECCA Cosimino,Male,Assistant Coach,1895227
C1925740,JANECKOVA Katerina,Female,Coach,1895228
C1925948,LEAL COLMENAREZ Mario,Male,Coach,1895232
C1926042,MOHAMMED Aisha,Female,Coach,1895234
C1926057,GARCIA CABRERA David,Male,Coach,1895235
C1926527,DELANEY Mike,Male,Assistant Coach,1895236
C1926529,McALEESE Shea,Male,Assistant Coach,1895237
C1926530,CLARK Gregg,Male,Assistant Coach,1895238
C1926532,NICOL Greg,Male,Head Coach,1895239
C1926601,MACKINTOSH Euan,Male,Assistant Coach,1895241
C1926602,SWEENEY Cory,Male,Head Coach,1895245
C1926603,GIBBS Rodney,Male,Assistant Coach,1895246
C1926604,COCKER Edwin,Male,Assistant Coach,1895248
C1926605,CAMA Tomasi,Male,Head Coach,1895250
C1926606,ROSS Stu,Male,Assistant Coach,1895261
C1926607,MURPHY Amanda,Female,Assistant Coach,1895265
C1926612,McMASTER Travis,Male,Assistant Coach,1895280
C1927174,ANNAN Alyson Regina,Female,Head Coach,1895281
C1927222,LU Zhuan,Male,Head Coach,1895282
C1927223,PASQUALETTI Massimo,Male,Assistant Coach,1895293
C1927270,GOMEZ AGUERA Salvador Emilio,Male,Assistant Coach,1895294
C1927271,JANE GIRALT Juan,Male,Head Coach,1895297
C1927274,WU Zhiyu,Male,Assistant Coach,1895300
C1927534,QU Tao,Female,Coach,1895315
C1927535,SUN Dan,Female,Coach,1895325
C1927537,XU Yanshu,Female,Coach,1895329
C1927542,BLIZNYUK Anastasia,Female,Coach,1895346
C1927873,LARHOLM Erik Jonas,Male,Assistant Coach,1895370
C1927879,RADIC Vanja,Female,Assistant Coach,1895371
C1927880,SIGNELL Kurt Henrik,Male,Head Coach,1895373
C1927972,AGAFONTSEV Sergiy,Male,Coach,1895376
C1928060,KRCE Lucijan,Male,Coach,1895377
